,Timestep,Date,Activity
2513,240916,2023-06-17 07:16:00,listen to music on hifi (2 h)
2514,241052,2023-06-17 09:32:00,go to the toilet
2515,241057,2023-06-17 09:37:00,eat very small breakfast (5 min)
2516,241063,2023-06-17 09:43:00,go to horse riding lessons
2517,241236,2023-06-17 12:36:00,do garden work every day
2518,241284,2023-06-17 13:24:00,cook weekend lunch for the family
2519,241433,2023-06-17 15:53:00,talk with friends on the phone
2520,241465,2023-06-17 16:25:00,run the dishwasher (triggered)
2521,241484,2023-06-17 16:44:00,take singing lessons
2522,241590,2023-06-17 18:30:00,go to the toilet
2523,241595,2023-06-17 18:35:00,run vacuum cleaner robot
2524,241605,2023-06-17 18:45:00,watch TV (1 h)
2525,241673,2023-06-17 19:53:00,watch sports on TV with SAT Reciever (2 h)
2526,241787,2023-06-17 21:47:00,sleep bed 02 (06 h)
2527,242169,2023-06-18 04:09:00,make smoothie
2528,242174,2023-06-18 04:14:00,do laundry 30°C with mini washing machine
2529,242188,2023-06-18 04:28:00,go to the toilet
2530,242194,2023-06-18 04:34:00,practice generic music instrument (1 h)
2531,242253,2023-06-18 05:33:00,cook coffee
2532,242263,2023-06-18 05:43:00,hang up laundry outside
2533,242296,2023-06-18 06:16:00,get ready in the morning (men)
2534,242306,2023-06-18 06:26:00,talk with friends on the phone
2535,242333,2023-06-18 06:53:00,watch a movie for 2 h
2536,242461,2023-06-18 09:01:00,eat very small breakfast (5 min)
2537,242466,2023-06-18 09:06:00,watch sports on TV with SAT Reciever (2 h)
2538,242568,2023-06-18 10:48:00,go to the toilet
2539,242573,2023-06-18 10:53:00,take a hike (4 h)
2540,242828,2023-06-18 15:08:00,go to the toilet
2541,242834,2023-06-18 15:14:00,take a shower (men)
2542,242855,2023-06-18 15:35:00,watch TV (1 h)
2543,242918,2023-06-18 16:38:00,talk with friends on the phone
2544,242943,2023-06-18 17:03:00,watch the news
2545,242957,2023-06-18 17:17:00,watch sports on TV with DVB-T (2 h)
2546,243088,2023-06-18 19:28:00,grill food and eat it (3 h)
2547,243299,2023-06-18 22:59:00,sleep bed 02 (06 h)
2548,243703,2023-06-19 05:43:00,work at the office (09 h)
2549,244211,2023-06-19 14:11:00,go to the toilet
2550,244216,2023-06-19 14:16:00,do laundry 30°C with mini washing machine
2551,244228,2023-06-19 14:28:00,make smoothie
2552,244233,2023-06-19 14:33:00,go shopping for food in the supermarket (1_5 h)
2553,244333,2023-06-19 16:13:00,hang up laundry outside
2554,244364,2023-06-19 16:44:00,practice generic music instrument (1 h)
2555,244421,2023-06-19 17:41:00,iron and watch TV with Sat Reciever (1 h)
2556,244487,2023-06-19 18:47:00,talk with friends on the phone
2557,244518,2023-06-19 19:18:00,bake bread
2558,244585,2023-06-19 20:25:00,go to the toilet
2559,244590,2023-06-19 20:30:00,listen to music on hifi (2 h)
2560,244718,2023-06-19 22:38:00,sleep bed 02 (06 h)
2561,245060,2023-06-20 04:20:00,make smoothie
2562,245066,2023-06-20 04:26:00,do laundry 60°C with mini washing machine
2563,245084,2023-06-20 04:44:00,watch a movie for 1 h 30 min
2564,245184,2023-06-20 06:24:00,work at the office (09 h)
2565,245708,2023-06-20 15:08:00,run the dishwasher (triggered)
2566,245722,2023-06-20 15:22:00,go to the toilet
2567,245727,2023-06-20 15:27:00,hang up laundry outside
2568,245755,2023-06-20 15:55:00,make smoothie
2569,245760,2023-06-20 16:00:00,cook coffee
2570,245770,2023-06-20 16:10:00,talk with friends on the phone
2571,245807,2023-06-20 16:47:00,go to horse riding lessons
2572,246027,2023-06-20 20:27:00,do laundry 30°C with mini washing machine
2573,246040,2023-06-20 20:40:00,take a shower (men)
2574,246062,2023-06-20 21:02:00,practice generic music instrument (1 h)
2575,246128,2023-06-20 22:08:00,sleep bed 02 (06 h)
2576,246503,2023-06-21 04:23:00,go to the toilet
2577,246508,2023-06-21 04:28:00,hang up laundry outside
2578,246537,2023-06-21 04:57:00,make smoothie
2579,246542,2023-06-21 05:02:00,work at the office (09 h)
2580,247099,2023-06-21 14:19:00,iron and watch TV with Sat Reciever (1 h)
2581,247158,2023-06-21 15:18:00,talk with friends on the phone
2582,247189,2023-06-21 15:49:00,do garden work every day
2583,247318,2023-06-21 17:58:00,go to the toilet
2584,247324,2023-06-21 18:04:00,make smoothie
2585,247330,2023-06-21 18:10:00,go shopping for food in the supermarket (1_5 h)
2586,247410,2023-06-21 19:30:00,bake a cake
2587,247443,2023-06-21 20:03:00,run the dishwasher (triggered)
2588,247459,2023-06-21 20:19:00,take singing lessons
2589,247569,2023-06-21 22:09:00,sleep bed 02 (06 h)
2590,247958,2023-06-22 04:38:00,go to the toilet
2591,247964,2023-06-22 04:44:00,do laundry 30°C with mini washing machine
2592,247978,2023-06-22 04:58:00,make smoothie
2593,247983,2023-06-22 05:03:00,practice generic music instrument (1 h)
2594,248034,2023-06-22 05:54:00,work at the office (09 h)
2595,248715,2023-06-22 17:15:00,hang up laundry outside
2596,248748,2023-06-22 17:48:00,talk with friends on the phone
2597,248779,2023-06-22 18:19:00,go to the toilet
2598,248785,2023-06-22 18:25:00,make smoothie
2599,248791,2023-06-22 18:31:00,run vacuum cleaner robot
2600,248801,2023-06-22 18:41:00,watch TV (1 h)
2601,248855,2023-06-22 19:35:00,visit the cinema
2602,249055,2023-06-22 22:55:00,sleep bed 02 (06 h)
2603,249419,2023-06-23 04:59:00,make smoothie
2604,249425,2023-06-23 05:05:00,work at the office (09 h)
2605,249982,2023-06-23 14:22:00,go to the toilet
2606,249988,2023-06-23 14:28:00,do laundry 30°C with mini washing machine
2607,250002,2023-06-23 14:42:00,take a shower (men)
2608,250022,2023-06-23 15:02:00,cook coffee
2609,250033,2023-06-23 15:13:00,practice generic music instrument (1 h)
2610,250095,2023-06-23 16:15:00,hang up laundry outside
2611,250122,2023-06-23 16:42:00,make smoothie
2612,250128,2023-06-23 16:48:00,iron Clothes
2613,250193,2023-06-23 17:53:00,talk with friends on the phone
2614,250224,2023-06-23 18:24:00,go to horse riding lessons
2615,250406,2023-06-23 21:26:00,sleep bed 02 (06 h)
2616,250741,2023-06-24 03:01:00,go to the toilet
2617,250746,2023-06-24 03:06:00,do laundry 60°C with mini washing machine
2618,250761,2023-06-24 03:21:00,make smoothie
2619,250766,2023-06-24 03:26:00,listen to music on hifi (2 h)
2620,250892,2023-06-24 05:32:00,hang up laundry outside
2621,250918,2023-06-24 05:58:00,watch sports on TV with SAT Reciever (2 h)
2622,251018,2023-06-24 07:38:00,get ready in the morning (men)
2623,251029,2023-06-24 07:49:00,go shopping for food in the supermarket (1_5 h)
2624,251135,2023-06-24 09:35:00,do laundry 30°C with mini washing machine
2625,251151,2023-06-24 09:51:00,go to the toilet
2626,251156,2023-06-24 09:56:00,eat very small breakfast (5 min)
2627,251162,2023-06-24 10:02:00,talk with friends on the phone
2628,251197,2023-06-24 10:37:00,run the dishwasher (triggered)
2629,251211,2023-06-24 10:51:00,watch TV (1 h)
2630,251227,2023-06-24 11:07:00,cook weekend lunch for the family
2631,251325,2023-06-24 12:45:00,hang up laundry outside
2632,251355,2023-06-24 13:15:00,watch the news
2633,251369,2023-06-24 13:29:00,iron and watch TV with Sat Reciever (1 h)
2634,251429,2023-06-24 14:29:00,watch sports on TV with SAT Reciever (2 h)
2635,251564,2023-06-24 16:44:00,go to the toilet
2636,251569,2023-06-24 16:49:00,practice generic music instrument (1 h)
2637,251625,2023-06-24 17:45:00,do garden work every day
2638,251744,2023-06-24 19:44:00,talk with friends on the phone
2639,251772,2023-06-24 20:12:00,watch a movie for 1 h 30 min
2640,251856,2023-06-24 21:36:00,sleep bed 02 (06 h)
2641,252184,2023-06-25 03:04:00,make smoothie
2642,252190,2023-06-25 03:10:00,go to the toilet
2643,252195,2023-06-25 03:15:00,watch TV (1 h)
2644,252258,2023-06-25 04:18:00,watch sports on TV with DVB-T (2 h)
2645,252384,2023-06-25 06:24:00,get ready in the morning (men)
2646,252395,2023-06-25 06:35:00,cook coffee
2647,252405,2023-06-25 06:45:00,talk with friends on the phone
2648,252435,2023-06-25 07:15:00,watch the news
2649,252451,2023-06-25 07:31:00,watch sports on TV with SAT Reciever (2 h)
2650,252571,2023-06-25 09:31:00,go to the toilet
2651,252576,2023-06-25 09:36:00,eat very small breakfast (5 min)
2652,252581,2023-06-25 09:41:00,clean the windows
2653,252670,2023-06-25 11:10:00,cook weekend lunch for the family
2654,252755,2023-06-25 12:35:00,watch a movie for 1 h 30 min
2655,252855,2023-06-25 14:15:00,watch a movie for 2 h
2656,252968,2023-06-25 16:08:00,take a shower (men)
2657,252989,2023-06-25 16:29:00,talk with friends on the phone
2658,253021,2023-06-25 17:01:00,go to the toilet
2659,253027,2023-06-25 17:07:00,take singing lessons
2660,253144,2023-06-25 19:04:00,practice generic music instrument (1 h)
2661,253203,2023-06-25 20:03:00,run vacuum cleaner robot
2662,253213,2023-06-25 20:13:00,grill food and eat it (3 h)
2663,253388,2023-06-25 23:08:00,sleep bed 02 (06 h)
2664,253741,2023-06-26 05:01:00,do laundry 30°C with mini washing machine
2665,253758,2023-06-26 05:18:00,work at the office (09 h)
2666,254325,2023-06-26 14:45:00,go to the toilet
2667,254330,2023-06-26 14:50:00,hang up laundry outside
2668,254354,2023-06-26 15:14:00,make smoothie
2669,254359,2023-06-26 15:19:00,go shopping for food in the supermarket (1_5 h)
2670,254456,2023-06-26 16:56:00,run the dishwasher (triggered)
2671,254471,2023-06-26 17:11:00,talk with friends on the phone
2672,254502,2023-06-26 17:42:00,go to horse riding lessons
2673,254702,2023-06-26 21:02:00,practice generic music instrument (1 h)
2674,254768,2023-06-26 22:08:00,sleep bed 02 (06 h)
2675,255128,2023-06-27 04:08:00,go to the toilet
2676,255134,2023-06-27 04:14:00,make smoothie
2677,255139,2023-06-27 04:19:00,listen to music on hifi (2 h)
2678,255255,2023-06-27 06:15:00,work at the office (09 h)
2679,255752,2023-06-27 14:32:00,do laundry 30°C with mini washing machine
2680,255770,2023-06-27 14:50:00,cook coffee
2681,255780,2023-06-27 15:00:00,bake bread
2682,255852,2023-06-27 16:12:00,go to the toilet
2683,255858,2023-06-27 16:18:00,hang up laundry outside
2684,255890,2023-06-27 16:50:00,make smoothie
2685,255896,2023-06-27 16:56:00,iron and watch TV with Sat Reciever (1 h)
2686,255955,2023-06-27 17:55:00,talk with friends on the phone
2687,255977,2023-06-27 18:17:00,take a shower (men)
2688,255999,2023-06-27 18:39:00,watch a movie for 1 h 30 min
2689,256079,2023-06-27 19:59:00,bake a cake
2690,256111,2023-06-27 20:31:00,watch the news
2691,256126,2023-06-27 20:46:00,watch TV (1 h)
2692,256193,2023-06-27 21:53:00,sleep bed 02 (06 h)
2693,256546,2023-06-28 03:46:00,go to the toilet
2694,256551,2023-06-28 03:51:00,do laundry 60°C with mini washing machine
2695,256567,2023-06-28 04:07:00,make smoothie
2696,256572,2023-06-28 04:12:00,practice generic music instrument (1 h)
2697,256631,2023-06-28 05:11:00,work at the office (09 h)
2698,257236,2023-06-28 15:16:00,run the dishwasher (triggered)
2699,257250,2023-06-28 15:30:00,hang up laundry outside
2700,257285,2023-06-28 16:05:00,go to the toilet
2701,257290,2023-06-28 16:10:00,do laundry 30°C with mini washing machine
2702,257306,2023-06-28 16:26:00,make smoothie
2703,257312,2023-06-28 16:32:00,talk with friends on the phone
2704,257346,2023-06-28 17:06:00,do garden work every day
2705,257459,2023-06-28 18:59:00,visit an opera
2706,257733,2023-06-28 23:33:00,sleep bed 02 (06 h)
2707,258115,2023-06-29 05:55:00,work at the office (09 h)
2708,258574,2023-06-29 13:34:00,go to the toilet
2709,258579,2023-06-29 13:39:00,hang up laundry outside
2710,258614,2023-06-29 14:14:00,make smoothie
2711,258620,2023-06-29 14:20:00,iron Clothes
2712,258675,2023-06-29 15:15:00,go shopping for food in the supermarket (1_5 h)
2713,258761,2023-06-29 16:41:00,practice generic music instrument (1 h)
2714,258827,2023-06-29 17:47:00,talk with friends on the phone
2715,258853,2023-06-29 18:13:00,go to horse riding lessons
2716,259041,2023-06-29 21:21:00,sleep bed 02 (06 h)
2717,259391,2023-06-30 03:11:00,go to the toilet
2718,259396,2023-06-30 03:16:00,do laundry 30°C with mini washing machine
2719,259411,2023-06-30 03:31:00,make smoothie
2720,259416,2023-06-30 03:36:00,watch the news
2721,259432,2023-06-30 03:52:00,listen to music on hifi (2 h)
2722,259561,2023-06-30 06:01:00,work at the office (09 h)
2723,260091,2023-06-30 14:51:00,hang up laundry outside
2724,260117,2023-06-30 15:17:00,go to the toilet
2725,260122,2023-06-30 15:22:00,take a shower (men)
2726,260141,2023-06-30 15:41:00,cook coffee
2727,260153,2023-06-30 15:53:00,make smoothie
2728,260158,2023-06-30 15:58:00,talk with friends on the phone
2729,260189,2023-06-30 16:29:00,run vacuum cleaner robot
2730,260199,2023-06-30 16:39:00,visit the cinema
2731,260383,2023-06-30 19:43:00,take singing lessons
2732,260500,2023-06-30 21:40:00,sleep bed 02 (06 h)
2733,260860,2023-07-01 03:40:00,go to the toilet
2734,260865,2023-07-01 03:45:00,make smoothie
2735,260870,2023-07-01 03:50:00,practice generic music instrument (1 h)
2736,260927,2023-07-01 04:47:00,talk with friends on the phone
2737,260964,2023-07-01 05:24:00,do laundry 30°C with mini washing machine
2738,260979,2023-07-01 05:39:00,watch sports on TV with DVB-T (2 h)
2739,261091,2023-07-01 07:31:00,get ready in the morning (men)
2740,261102,2023-07-01 07:42:00,hang up laundry outside
2741,261132,2023-07-01 08:12:00,watch sports on TV with SAT Reciever (2 h)
2742,261251,2023-07-01 10:11:00,run the dishwasher (triggered)
2743,261266,2023-07-01 10:26:00,go to the toilet
2744,261270,2023-07-01 10:30:00,iron and watch TV with Sat Reciever (1 h)
2745,261305,2023-07-01 11:05:00,cook weekend lunch for the family
2746,261460,2023-07-01 13:40:00,talk with friends on the phone
2747,261498,2023-07-01 14:18:00,watch a movie for 1 h 30 min
2748,261596,2023-07-01 15:56:00,go shopping for food in the supermarket (1_5 h)
2749,261691,2023-07-01 17:31:00,do garden work every day
2750,261815,2023-07-01 19:35:00,go to the toilet
2751,261821,2023-07-01 19:41:00,watch the news
2752,261840,2023-07-01 20:00:00,watch TV (1 h)
2753,261891,2023-07-01 20:51:00,watch a movie for 2 h
2754,262031,2023-07-01 23:11:00,sleep bed 02 (06 h)
2755,262406,2023-07-02 05:26:00,do laundry 60°C with mini washing machine
2756,262424,2023-07-02 05:44:00,make smoothie
2757,262429,2023-07-02 05:49:00,go to the toilet
2758,262435,2023-07-02 05:55:00,cook coffee
2759,262447,2023-07-02 06:07:00,get ready in the morning (men)
2760,262460,2023-07-02 06:20:00,talk with friends on the phone
2761,262490,2023-07-02 06:50:00,practice generic music instrument (1 h)
2762,262550,2023-07-02 07:50:00,hang up laundry outside
2763,262580,2023-07-02 08:20:00,eat very small breakfast (5 min)
2764,262586,2023-07-02 08:26:00,go to horse riding lessons
2765,262797,2023-07-02 11:57:00,cook weekend lunch for the family
2766,262923,2023-07-02 14:03:00,go to the toilet
2767,262929,2023-07-02 14:09:00,do laundry 30°C with mini washing machine
2768,262945,2023-07-02 14:25:00,listen to music on hifi (2 h)
2769,263067,2023-07-02 16:27:00,hang up laundry outside
2770,263094,2023-07-02 16:54:00,take a shower (men)
2771,263114,2023-07-02 17:14:00,talk with friends on the phone
2772,263146,2023-07-02 17:46:00,watch sports on TV with SAT Reciever (2 h)
2773,263270,2023-07-02 19:50:00,iron and watch TV with Sat Reciever (1 h)
2774,263331,2023-07-02 20:51:00,go to the toilet
2775,263337,2023-07-02 20:57:00,watch TV (1 h)
2776,263402,2023-07-02 22:02:00,sleep bed 02 (06 h)
2777,263723,2023-07-03 03:23:00,go to the toilet
2778,263728,2023-07-03 03:28:00,make smoothie
2779,263734,2023-07-03 03:34:00,watch sports on TV with DVB-T (2 h)
2780,263866,2023-07-03 05:46:00,work at the office (09 h)
2781,264433,2023-07-03 15:13:00,go to the toilet
2782,264437,2023-07-03 15:17:00,practice generic music instrument (1 h)
2783,264495,2023-07-03 16:15:00,talk with friends on the phone
2784,264527,2023-07-03 16:47:00,make smoothie
2785,264532,2023-07-03 16:52:00,bake a cake
2786,264570,2023-07-03 17:30:00,go shopping for food in the supermarket (1_5 h)
2787,264652,2023-07-03 18:52:00,run the dishwasher (triggered)
2788,264667,2023-07-03 19:07:00,go to the toilet
2789,264672,2023-07-03 19:12:00,grill food and eat it (3 h)
2790,264852,2023-07-03 22:12:00,sleep bed 02 (06 h)
2791,265238,2023-07-04 04:38:00,go to the toilet
2792,265244,2023-07-04 04:44:00,do laundry 30°C with mini washing machine
2793,265258,2023-07-04 04:58:00,talk with friends on the phone
2794,265289,2023-07-04 05:29:00,work at the office (09 h)
2795,265905,2023-07-04 15:45:00,hang up laundry outside
2796,265939,2023-07-04 16:19:00,go to the toilet
2797,265944,2023-07-04 16:24:00,make smoothie
2798,265951,2023-07-04 16:31:00,bake bread
2799,266020,2023-07-04 17:40:00,practice generic music instrument (1 h)
2800,266081,2023-07-04 18:41:00,take a shower (men)
2801,266102,2023-07-04 19:02:00,go to horse riding lessons
2802,266245,2023-07-04 21:25:00,sleep bed 02 (06 h)
2803,266595,2023-07-05 03:15:00,go to the toilet
2804,266600,2023-07-05 03:20:00,do laundry 30°C with mini washing machine
2805,266615,2023-07-05 03:35:00,make smoothie
2806,266620,2023-07-05 03:40:00,talk with friends on the phone
2807,266648,2023-07-05 04:08:00,watch sports on TV with DVB-T (2 h)
2808,266779,2023-07-05 06:19:00,work at the office (09 h)
2809,267260,2023-07-05 14:20:00,hang up laundry outside
2810,267291,2023-07-05 14:51:00,run the dishwasher (triggered)
2811,267308,2023-07-05 15:08:00,go to the toilet
2812,267314,2023-07-05 15:14:00,iron Clothes
2813,267379,2023-07-05 16:19:00,make smoothie
2814,267385,2023-07-05 16:25:00,do garden work every day
2815,267498,2023-07-05 18:18:00,take singing lessons
2816,267590,2023-07-05 19:50:00,talk with friends on the phone
2817,267622,2023-07-05 20:22:00,practice generic music instrument (1 h)
2818,267694,2023-07-05 21:34:00,sleep bed 02 (06 h)
2819,268076,2023-07-06 03:56:00,go to the toilet
2820,268082,2023-07-06 04:02:00,do laundry 60°C with mini washing machine
2821,268098,2023-07-06 04:18:00,make smoothie
2822,268103,2023-07-06 04:23:00,listen to music on hifi (2 h)
2823,268209,2023-07-06 06:09:00,work at the office (09 h)
2824,268722,2023-07-06 14:42:00,hang up laundry outside
2825,268752,2023-07-06 15:12:00,do laundry 30°C with mini washing machine
2826,268769,2023-07-06 15:29:00,go to the toilet
2827,268774,2023-07-06 15:34:00,go shopping for food in the supermarket (1_5 h)
2828,268862,2023-07-06 17:02:00,make smoothie
2829,268867,2023-07-06 17:07:00,talk with friends on the phone
2830,268902,2023-07-06 17:42:00,run vacuum cleaner robot
2831,268913,2023-07-06 17:53:00,watch the news
2832,268927,2023-07-06 18:07:00,watch sports on TV with SAT Reciever (2 h)
2833,269049,2023-07-06 20:09:00,hang up laundry outside
2834,269086,2023-07-06 20:46:00,take a shower (men)
2835,269108,2023-07-06 21:08:00,iron and watch TV with Sat Reciever (1 h)
2836,269173,2023-07-06 22:13:00,sleep bed 02 (06 h)
2837,269566,2023-07-07 04:46:00,go to the toilet
2838,269572,2023-07-07 04:52:00,make smoothie
2839,269577,2023-07-07 04:57:00,practice generic music instrument (1 h)
2840,269633,2023-07-07 05:53:00,work at the office (09 h)
2841,270238,2023-07-07 15:58:00,cook coffee
2842,270248,2023-07-07 16:08:00,talk with friends on the phone
2843,270279,2023-07-07 16:39:00,make smoothie
2844,270285,2023-07-07 16:45:00,go to the toilet
2845,270290,2023-07-07 16:50:00,go to horse riding lessons
2846,270487,2023-07-07 20:07:00,visit a festival (2d)
2847,273367,2023-07-09 20:07:00,go to the toilet
2848,273373,2023-07-09 20:13:00,take a shower (men)
2849,273394,2023-07-09 20:34:00,do laundry 30°C with mini washing machine
2850,273409,2023-07-09 20:49:00,make smoothie
2851,273414,2023-07-09 20:54:00,practice generic music instrument (1 h)
2852,273477,2023-07-09 21:57:00,sleep bed 02 (06 h)
2853,273787,2023-07-10 03:07:00,hang up laundry outside
2854,273819,2023-07-10 03:39:00,go to the toilet
2855,273825,2023-07-10 03:45:00,talk with friends on the phone
2856,273854,2023-07-10 04:14:00,listen to music on hifi (2 h)
2857,273978,2023-07-10 06:18:00,work at the office (09 h)
2858,274572,2023-07-10 16:12:00,go to the toilet
2859,274578,2023-07-10 16:18:00,run the dishwasher (triggered)
2860,274594,2023-07-10 16:34:00,go shopping for food in the supermarket (1_5 h)
2861,274691,2023-07-10 18:11:00,do laundry 30°C with mini washing machine
2862,274706,2023-07-10 18:26:00,make smoothie
2863,274711,2023-07-10 18:31:00,do garden work every day
2864,274831,2023-07-10 20:31:00,hang up laundry outside
2865,274865,2023-07-10 21:05:00,go to the toilet
2866,274870,2023-07-10 21:10:00,sleep bed 02 (06 h)
2867,275248,2023-07-11 03:28:00,iron and watch TV with Sat Reciever (1 h)
2868,275305,2023-07-11 04:25:00,go to the toilet
2869,275310,2023-07-11 04:30:00,do laundry 60°C with mini washing machine
2870,275325,2023-07-11 04:45:00,make smoothie
2871,275330,2023-07-11 04:50:00,practice generic music instrument (1 h)
2872,275395,2023-07-11 05:55:00,work at the office (09 h)
2873,275898,2023-07-11 14:18:00,go to the toilet
2874,275903,2023-07-11 14:23:00,hang up laundry outside
2875,275935,2023-07-11 14:55:00,do laundry 30°C with mini washing machine
2876,275954,2023-07-11 15:14:00,cook coffee
2877,275964,2023-07-11 15:24:00,make smoothie
2878,275970,2023-07-11 15:30:00,go to horse riding lessons
2879,276183,2023-07-11 19:03:00,run the dishwasher (triggered)
2880,276197,2023-07-11 19:17:00,talk with friends on the phone
2881,276228,2023-07-11 19:48:00,take singing lessons
2882,276348,2023-07-11 21:48:00,sleep bed 02 (06 h)
2883,276694,2023-07-12 03:34:00,go to the toilet
2884,276699,2023-07-12 03:39:00,hang up laundry outside
2885,276724,2023-07-12 04:04:00,make smoothie
2886,276729,2023-07-12 04:09:00,iron and watch TV with Sat Reciever (1 h)
2887,276785,2023-07-12 05:05:00,work at the office (09 h)
2888,277363,2023-07-12 14:43:00,do laundry 30°C with mini washing machine
2889,277379,2023-07-12 14:59:00,take a shower (men)
2890,277401,2023-07-12 15:21:00,go to the toilet
2891,277407,2023-07-12 15:27:00,make smoothie
2892,277413,2023-07-12 15:33:00,practice generic music instrument (1 h)
2893,277475,2023-07-12 16:35:00,hang up laundry outside
2894,277509,2023-07-12 17:09:00,bake bread
2895,277578,2023-07-12 18:18:00,grill food and eat it (3 h)
2896,277753,2023-07-12 21:13:00,sleep bed 02 (06 h)
2897,278117,2023-07-13 03:17:00,go to the toilet
2898,278122,2023-07-13 03:22:00,talk with friends on the phone
2899,278152,2023-07-13 03:52:00,watch the news
2900,278165,2023-07-13 04:05:00,listen to music on hifi (2 h)
2901,278282,2023-07-13 06:02:00,work at the office (09 h)
2902,278860,2023-07-13 15:40:00,make smoothie
2903,278865,2023-07-13 15:45:00,go shopping for food in the supermarket (1_5 h)
2904,278962,2023-07-13 17:22:00,go to the toilet
2905,278968,2023-07-13 17:28:00,bake a cake
2906,279001,2023-07-13 18:01:00,visit the cinema
2907,279190,2023-07-13 21:10:00,practice generic music instrument (1 h)
2908,279247,2023-07-13 22:07:00,sleep bed 02 (06 h)
2909,279586,2023-07-14 03:46:00,make smoothie
2910,279592,2023-07-14 03:52:00,do laundry 30°C with mini washing machine
2911,279608,2023-07-14 04:08:00,talk with friends on the phone
2912,279637,2023-07-14 04:37:00,go to the toilet
2913,279642,2023-07-14 04:42:00,watch a movie for 2 h
2914,279752,2023-07-14 06:32:00,work at the office (09 h)
2915,280249,2023-07-14 14:49:00,go to the toilet
2916,280254,2023-07-14 14:54:00,hang up laundry outside
2917,280283,2023-07-14 15:23:00,run the dishwasher (triggered)
2918,280297,2023-07-14 15:37:00,iron Clothes
2919,280359,2023-07-14 16:39:00,make smoothie
2920,280365,2023-07-14 16:45:00,run vacuum cleaner robot
2921,280374,2023-07-14 16:54:00,go to horse riding lessons
2922,280567,2023-07-14 20:07:00,go to the toilet
2923,280573,2023-07-14 20:13:00,take a shower (men)
2924,280595,2023-07-14 20:35:00,talk with friends on the phone
2925,280625,2023-07-14 21:05:00,sleep bed 02 (06 h)
2926,280993,2023-07-15 03:13:00,go to the toilet
2927,280999,2023-07-15 03:19:00,do laundry 30°C with mini washing machine
2928,281013,2023-07-15 03:33:00,make smoothie
2929,281018,2023-07-15 03:38:00,practice generic music instrument (1 h)
2930,281081,2023-07-15 04:41:00,listen to music on hifi (2 h)
2931,281203,2023-07-15 06:43:00,get ready in the morning (men)
2932,281213,2023-07-15 06:53:00,hang up laundry outside
2933,281249,2023-07-15 07:29:00,go to the toilet
2934,281255,2023-07-15 07:35:00,cook coffee
2935,281267,2023-07-15 07:47:00,do laundry 60°C with mini washing machine
2936,281284,2023-07-15 08:04:00,talk with friends on the phone
2937,281316,2023-07-15 08:36:00,eat very small breakfast (5 min)
2938,281322,2023-07-15 08:42:00,watch the news
2939,281337,2023-07-15 08:57:00,take a hike (4 h)
2940,281582,2023-07-15 13:02:00,cook weekend lunch for the family
2941,281744,2023-07-15 15:44:00,go to the toilet
2942,281750,2023-07-15 15:50:00,hang up laundry outside
2943,281782,2023-07-15 16:22:00,do garden work every day
2944,281920,2023-07-15 18:40:00,iron and watch TV with Sat Reciever (1 h)
2945,281981,2023-07-15 19:41:00,take singing lessons
2946,282089,2023-07-15 21:29:00,sleep bed 02 (06 h)
2947,282457,2023-07-16 03:37:00,make smoothie
2948,282462,2023-07-16 03:42:00,go to the toilet
2949,282468,2023-07-16 03:48:00,talk with friends on the phone
2950,282493,2023-07-16 04:13:00,practice generic music instrument (1 h)
2951,282549,2023-07-16 05:09:00,watch the news
2952,282566,2023-07-16 05:26:00,watch TV (1 h)
2953,282626,2023-07-16 06:26:00,get ready in the morning (men)
2954,282638,2023-07-16 06:38:00,do laundry 30°C with mini washing machine
2955,282651,2023-07-16 06:51:00,watch a movie for 2 h
2956,282776,2023-07-16 08:56:00,run the dishwasher (triggered)
2957,282789,2023-07-16 09:09:00,hang up laundry outside
2958,282822,2023-07-16 09:42:00,go to the toilet
2959,282828,2023-07-16 09:48:00,eat very small breakfast (5 min)
2960,282834,2023-07-16 09:54:00,cook coffee
2961,282845,2023-07-16 10:05:00,clean the windows
2962,282912,2023-07-16 11:12:00,cook weekend lunch for the family
2963,283104,2023-07-16 14:24:00,talk with friends on the phone
2964,283135,2023-07-16 14:55:00,watch TV (1 h)
2965,283201,2023-07-16 16:01:00,watch sports on TV with SAT Reciever (2 h)
2966,283319,2023-07-16 17:59:00,go to the toilet
2967,283325,2023-07-16 18:05:00,go to horse riding lessons
2968,283531,2023-07-16 21:31:00,sleep bed 02 (06 h)
2969,283870,2023-07-17 03:10:00,go to the toilet
2970,283875,2023-07-17 03:15:00,make smoothie
2971,283881,2023-07-17 03:21:00,talk with friends on the phone
2972,283914,2023-07-17 03:54:00,watch a movie for 1 h 30 min
2973,284012,2023-07-17 05:32:00,work at the office (09 h)
2974,284439,2023-07-17 12:39:00,go to the toilet
2975,284444,2023-07-17 12:44:00,do laundry 30°C with mini washing machine
2976,284460,2023-07-17 13:00:00,go shopping for food in the supermarket (1_5 h)
2977,284553,2023-07-17 14:33:00,hang up laundry outside
2978,284582,2023-07-17 15:02:00,take a shower (men)
2979,284599,2023-07-17 15:19:00,iron Clothes
2980,284652,2023-07-17 16:12:00,make smoothie
2981,284658,2023-07-17 16:18:00,practice generic music instrument (1 h)
2982,284723,2023-07-17 17:23:00,talk with friends on the phone
2983,284753,2023-07-17 17:53:00,go to the toilet
2984,284759,2023-07-17 17:59:00,listen to music on hifi (2 h)
